id_partida,id_league,referee,date,Stadium,Home_Team,home.id,Away_Team,away.id,home.winner,Gols_Home,Gols_Away,Half_Time_Gols_Home,Half_Time_Gols_Away,Empate
688989,71,Luiz Flavio De Oliveira,2021-07-04T19:00:00+00:00,Neo Química Arena,Flamengo,127,Fluminense,124,False,0,1,0,0,0
688991,71,Anderson Daronco,2021-07-04T21:15:00+00:00,Estádio Cícero Pompeu de Toledo,Sao Paulo,126,RB Bragantino,794,False,1,2,1,0,0
688994,71,Alisson Furtado,2021-07-04T21:15:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Ceara,129,Juventude,152,True,2,0,0,0,0
688998,71,Savio Pereira,2021-07-04T21:15:00+00:00,Arena Pantanal,Cuiaba,1193,Atletico-MG,1062,False,0,1,0,1,0
688993,71,Marielson Alves Silva,2021-07-04T23:30:00+00:00,Arena do Grêmio,Gremio,130,Atletico Goianiense,144,False,0,1,0,0,0
689001,71,Vinicius Gomes,2021-07-06T22:30:00+00:00,Estádio Urbano Caldeira,Santos,128,Atletico Paranaense,134,True,2,1,1,1,0
689005,71,Douglas Marques das Flores,2021-07-07T21:00:00+00:00,Estádio Governador Roberto Santos,Bahia,118,Juventude,152,True,1,0,0,0,0
689004,71,Thiago Luis Scarascati,2021-07-07T21:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,America Mineiro,125,True,4,0,1,0,0
689006,71,Douglas Schwengber,2021-07-07T21:00:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Cuiaba,1193,False,1,1,1,0,1
689000,71,Felipe Fernandes de Lima,2021-07-07T22:00:00+00:00,Allianz Parque,Palmeiras,121,Gremio,130,True,2,0,2,0,0
689002,71,Paulo Roberto Alves Júnior,2021-07-07T22:00:00+00:00,Estádio Governador Magalhães Pinto,Atletico-MG,1062,Flamengo,127,True,2,1,0,0,0
689008,71,Leo Simão,2021-07-07T22:15:00+00:00,Estádio Antônio Accioly,Atletico Goianiense,144,Sport Recife,123,False,1,1,0,0,1
689003,71,Bruno Arleu de Araujo,2021-07-08T00:30:00+00:00,Estádio José Pinheiro Borda,Internacional,119,Sao Paulo,126,False,0,2,0,1,0
688999,71,Ramon Abatti,2021-07-08T00:30:00+00:00,Estádio Club de Regatas Vasco da Gama,Fluminense,124,Ceara,129,False,0,0,0,0,1
689007,71,Ricardo Marques Ribeiro,2021-07-09T00:00:00+00:00,Arena Condá,Chapecoense-sc,132,Corinthians,131,False,0,1,0,0,0
689010,71,Braulio da Silva Machado,2021-07-10T19:30:00+00:00,Allianz Parque,Palmeiras,121,Santos,128,True,3,2,2,0,0
689013,71,Flavio Rodrigues De Souza,2021-07-10T19:30:00+00:00,Arena do Grêmio,Gremio,130,Internacional,119,False,0,0,0,0,1
689016,71,Leandro Vuaden,2021-07-10T20:30:00+00:00,Arena da Baixada,Atletico Paranaense,134,RB Bragantino,794,False,2,2,1,1,1
689015,71,Antonio Dib Moraes de Sousa,2021-07-10T22:00:00+00:00,Estádio Adelmar da Costa Carvalho,Sport Recife,123,Fluminense,124,False,1,2,1,0,0
689012,71,Anderson Daronco,2021-07-10T22:00:00+00:00,Estádio Raimundo Sampaio,America Mineiro,125,Atletico-MG,1062,False,0,1,0,0,0
689011,71,Marcelo de Lima Henrique,2021-07-10T22:00:00+00:00,Estádio Cícero Pompeu de Toledo,Sao Paulo,126,Bahia,118,True,1,0,0,0,0
689017,71,Wagner do Nascimento Magalhaes,2021-07-11T14:00:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Atletico Goianiense,144,False,1,1,0,0,1
689009,71,Paulo Cesar Zanovelli,2021-07-11T21:15:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,Chapecoense-sc,132,True,2,1,0,0,0
689018,71,Edina Alves Batista,2021-07-11T21:15:00+00:00,Arena Pantanal,Cuiaba,1193,Ceara,129,False,2,2,1,0,1
689014,71,Caio Max Augusto Vieira,2021-07-11T23:30:00+00:00,Estádio Municipal Presidente Getúlio Vargas,Fortaleza EC,154,Corinthians,131,True,1,0,1,0,0
689021,71,Savio Pereira,2021-07-17T20:00:00+00:00,Estádio Cícero Pompeu de Toledo,Sao Paulo,126,Fortaleza EC,154,False,0,1,0,0,0
689024,71,Marielson Alves Silva,2021-07-17T20:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Ceara,129,Atletico Paranaense,134,True,1,0,0,0,0
689020,71,Jean Pierre Goncalves Lima,2021-07-17T22:00:00+00:00,Neo Química Arena,Corinthians,131,Atletico-MG,1062,False,1,2,1,0,0
689019,71,Paulo Roberto Alves Júnior,2021-07-18T00:00:00+00:00,Estadio Jornalista Mário Filho,Fluminense,124,Gremio,130,False,0,1,0,0,0
689027,71,Jefferson Ferreira de Moraes,2021-07-18T14:00:00+00:00,Arena Condá,Chapecoense-sc,132,Cuiaba,1193,False,2,3,2,2,0
689028,71,Denis Ribeiro Serafim,2021-07-18T19:00:00+00:00,Estádio do Governo do Estado de Goiás,Atletico Goianiense,144,Palmeiras,121,False,0,3,0,0,0
689025,71,Wilton Pereira Sampaio,2021-07-18T21:15:00+00:00,Arena Fonte Nova,Bahia,118,Flamengo,127,False,0,5,0,2,0
689023,71,Rodolpho Toski Marques,2021-07-18T23:30:00+00:00,Estádio José Pinheiro Borda,Internacional,119,Juventude,152,True,1,0,0,0,0
689026,71,Luiz Flavio De Oliveira,2021-07-18T23:30:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Santos,128,False,2,2,1,0,1
689022,71,Vinicius Gomes,2021-07-19T23:00:00+00:00,Estádio Raimundo Sampaio,America Mineiro,125,Sport Recife,123,False,0,1,0,0,0
688938,71,Dyorgines José Padovani Andrade,2021-07-21T22:00:00+00:00,Arena Pantanal,Cuiaba,1193,Atletico Goianiense,144,True,2,1,1,0,0
689033,71,Alisson Furtado,2021-07-24T20:00:00+00:00,Arena do Grêmio,Gremio,130,America Mineiro,125,False,1,1,1,1,1
689030,71,Savio Pereira,2021-07-24T22:00:00+00:00,Allianz Parque,Palmeiras,121,Fluminense,124,True,1,0,0,0,0
689032,71,Antonio Dib Moraes de Sousa,2021-07-25T14:00:00+00:00,Estádio Governador Magalhães Pinto,Atletico-MG,1062,Bahia,118,True,3,0,0,0,0
689029,71,Felipe Fernandes de Lima,2021-07-25T19:00:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,Sao Paulo,126,True,5,1,0,0,0
689034,71,Bruno Arleu de Araujo,2021-07-25T19:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,RB Bragantino,794,True,1,0,1,0,0
