id_partida,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
35124,71,"Wilton Pereira Sampaio, Brazil",2017-11-19T19:00:00+00:00,Pacaembú,Sao Paulo,126,Botafogo,120,,0,0,0,0
35123,71,"Reway Wagner, Brazil",2017-11-19T19:00:00+00:00,Estádio Ilha do Urubu,Flamengo,127,Corinthians,131,True,3,0,3,0
35126,71,"Luiz Flavio De Oliveira, Brazil",2017-11-19T19:00:00+00:00,Estadio Manoel Barradas,Vitoria,136,Cruzeiro,135,,1,1,1,0
35122,71,"Dewson Fernando Freitas da Silva, Brazil",2017-11-19T19:00:00+00:00,Estádio Olimpico Pedro Ludovico,Atletico Goianiense,144,Chapecoense-sc,132,,1,1,0,1
35121,71,"Pericles Bassols Pegado Cortez, Brazil",2017-11-19T21:00:00+00:00,Urbano Caldeira,Santos,128,Gremio,130,True,1,0,1,0
35119,71,"Leandro Bizzio Marinho,",2017-11-19T21:00:00+00:00,Arena da Baixada,Atletico Paranaense,134,Vasco DA Gama,133,True,3,1,1,1
35120,71,"Sandro Meira Ricci, Brazil",2017-11-19T21:00:00+00:00,Arena Independência,Atletico-MG,1062,Coritiba,147,True,3,0,3,0
35118,71,"Anderson Daronco, Brazil",2017-11-20T19:00:00+00:00,Estádio do Maracanã,Fluminense,124,Ponte Preta,139,True,2,0,0,0
35117,71,"Ricardo Marques Ribeiro, Brazil",2017-11-20T22:00:00+00:00,Estádio da Ressacada,Avai,145,Palmeiras,121,True,2,1,0,0
35116,71,"Dewson Fernando Freitas da Silva, Brazil",2017-11-25T19:00:00+00:00,Estádio do Maracanã,Fluminense,124,Sport Recife,123,False,1,2,1,2
35114,71,"Bruno Arleu de Araujo, Brazil",2017-11-26T19:00:00+00:00,Arena do Grêmio,Gremio,130,Atletico Goianiense,144,,1,1,0,0
35111,71,"Wagner do Nascimento Magalhaes, Brazil",2017-11-26T19:00:00+00:00,Arena Corinthians,Corinthians,131,Atletico-MG,1062,,2,2,1,1
