fixture_id,id_league,referee,date,venue.name,home.name,home.id,away.name,away.id,home.winner,home,away,halftime.home,halftime.away
1180355,71,Rodrigo José Pereira de Lima,2024-04-13T21:30:00+00:00,Estádio José Pinheiro Borda,Internacional,119,Bahia,118,True,2,1,0,0
1180364,71,Bruno Pereira Vasconcelos,2024-04-13T21:30:00+00:00,Estádio Heriberto Hülse,Criciuma,140,Juventude,152,,1,1,1,0
1180358,71,Maguielson Lima Barbosa,2024-04-14T00:00:00+00:00,Estadio Jornalista Mário Filho,Fluminense,124,RB Bragantino,794,,2,2,1,0
1180361,71,Alex Gomes,2024-04-14T00:00:00+00:00,MorumBIS,Sao Paulo,126,Fortaleza EC,154,False,1,2,0,0
1180360,71,Yuri Elino Ferreira da Cruz,2024-04-14T19:00:00+00:00,Neo Química Arena,Corinthians,131,Atletico-MG,1062,,0,0,0,0
1180359,71,Flavio Rodrigues De Souza,2024-04-14T19:00:00+00:00,Estádio São Januário,Vasco DA Gama,133,Gremio,130,True,2,1,2,0
1180362,71,Jonathan Benkenstein Pinheiro,2024-04-14T19:00:00+00:00,Ligga Arena,Atletico Paranaense,134,Cuiaba,1193,True,4,0,3,0
1180363,71,André Luiz,2024-04-14T19:00:00+00:00,Estádio do Governo do Estado de Goiás,Atletico Goianiense,144,Flamengo,127,False,1,2,0,1
1180356,71,Matheus Delgado Candançan,2024-04-14T20:00:00+00:00,Estádio Governador Magalhães Pinto,Cruzeiro,135,Botafogo,120,True,3,2,1,1
1180357,71,Braulio da Silva Machado,2024-04-14T21:30:00+00:00,Estádio Manoel Barradas,Vitoria,136,Palmeiras,121,False,0,1,0,1
1180367,71,João Gobi,2024-04-17T00:30:00+00:00,Arena Fonte Nova,Bahia,118,Fluminense,124,True,2,1,1,1
1180365,71,Marcelo de Lima Henrique,2024-04-17T22:00:00+00:00,Arena do Grêmio,Gremio,130,Atletico Paranaense,134,True,2,0,1,0
1180371,71,Paulo Cesar Zanovelli da Silva,2024-04-17T22:00:00+00:00,Estádio Nabi Abi Chedid,RB Bragantino,794,Vasco DA Gama,133,True,2,1,1,0
1180370,71,Lucas Torezin,2024-04-17T23:00:00+00:00,Arena Barueri,Palmeiras,121,Internacional,119,False,0,1,0,1
1180374,71,Bruno Arleu de Araujo,2024-04-17T23:00:00+00:00,Estádio Alfredo Jaconi,Juventude,152,Corinthians,131,True,2,0,0,0
1180372,71,Bruno Mota Correia,2024-04-17T23:00:00+00:00,Estádio Governador Plácido Aderaldo Castelo,Fortaleza EC,154,Cruzeiro,135,,1,1,1,0
1180366,71,Paulo Belence Alves dos Prazeres Filho,2024-04-17T23:00:00+00:00,Arena MRV,Atletico-MG,1062,Criciuma,140,,1,1,1,0
1180368,71,Anderson Daronco,2024-04-18T00:30:00+00:00,Estadio Jornalista Mário Filho,Flamengo,127,Sao Paulo,126,True,2,1,1,0
1180369,71,Luiz Flávio,2024-04-19T00:30:00+00:00,Estádio Nilton Santos,Botafogo,120,Atletico Goianiense,144,True,1,0,1,0
1180378,71,Wilton Pereira Sampaio,2024-04-20T19:00:00+00:00,Estadio Jornalista Mário Filho,Fluminense,124,Vasco DA Gama,133,True,2,1,1,0
