fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%
328011,794,Bragantino,3,7,16,6,8.0,8.0,16,7.0,1.0,58%,1.0,,2.0,502.0,413.0,82%
328006,133,Vasco DA Gama,3,5,8,0,5.0,3.0,16,3.0,1.0,40%,2.0,,4.0,380.0,312.0,82%
328006,126,Sao Paulo,5,4,11,2,7.0,4.0,15,4.0,1.0,60%,5.0,,1.0,553.0,479.0,87%
328005,124,Fluminense,5,2,10,3,8.0,2.0,13,1.0,1.0,43%,2.0,,1.0,339.0,259.0,76%
328005,119,Internacional,3,4,9,2,5.0,4.0,24,4.0,1.0,57%,2.0,,3.0,434.0,339.0,78%
328013,154,Fortaleza EC,1,8,12,3,5.0,7.0,9,4.0,2.0,58%,2.0,,6.0,561.0,509.0,91%
328013,120,Botafogo,6,6,15,3,6.0,9.0,8,7.0,1.0,42%,1.0,,1.0,394.0,343.0,87%
328008,128,Santos,6,5,11,0,6.0,5.0,9,2.0,,32%,1.0,,1.0,292.0,225.0,77%
328008,134,Atletico Paranaense,2,6,12,4,6.0,6.0,22,6.0,,68%,1.0,,3.0,587.0,524.0,89%
328014,144,Atletico Goianiense,4,5,10,1,4.0,6.0,13,4.0,0.0,31%,2.0,1.0,3.0,234.0,156.0,67%
328014,123,Sport Recife,4,8,15,3,9.0,6.0,15,9.0,2.0,69%,2.0,0.0,3.0,504.0,418.0,83%
328015,127,Flamengo,2,4,8,2,4.0,4.0,17,1.0,1.0,60%,3.0,,1.0,595.0,522.0,88%
328015,130,Gremio,2,5,10,3,5.0,5.0,20,2.0,3.0,40%,3.0,,1.0,388.0,311.0,80%
328018,794,Bragantino,3,6,13,4,7.0,6.0,19,6.0,2.0,52%,5.0,,3.0,438.0,359.0,82%
328018,124,Fluminense,4,3,9,2,3.0,6.0,14,4.0,0.0,48%,5.0,,1.0,402.0,322.0,80%
328022,134,Atletico Paranaense,0,5,6,1,3.0,3.0,20,5.0,0.0,56%,5.0,,2.0,452.0,361.0,80%
328022,121,Palmeiras,3,6,10,1,5.0,5.0,19,7.0,2.0,44%,0.0,,0.0,341.0,267.0,78%
328020,119,Internacional,5,3,11,3,6.0,5.0,19,4.0,1.0,56%,3.0,1.0,1.0,442.0,370.0,84%
328020,144,Atletico Goianiense,1,5,7,1,2.0,5.0,17,3.0,2.0,44%,2.0,0.0,2.0,334.0,245.0,73%
328024,151,Goias,4,9,13,0,4.0,9.0,16,2.0,3.0,47%,4.0,,0.0,331.0,263.0,79%
328024,154,Fortaleza EC,3,5,13,5,7.0,6.0,15,6.0,2.0,53%,2.0,,3.0,381.0,300.0,79%
328016,120,Botafogo,5,3,10,2,9.0,1.0,9,7.0,1.0,26%,2.0,,8.0,210.0,133.0,63%
328016,1062,Atletico-MG,9,13,31,9,21.0,10.0,10,16.0,2.0,74%,0.0,,3.0,608.0,530.0,87%
328019,131,Corinthians,13,6,23,4,16.0,7.0,15,10.0,0.0,62%,2.0,0.0,3.0,583.0,534.0,92%
328019,147,Coritiba,4,3,9,2,3.0,6.0,7,0.0,3.0,38%,1.0,1.0,9.0,354.0,293.0,83%
328021,123,Sport Recife,5,3,11,3,9.0,2.0,23,4.0,1.0,41%,4.0,,4.0,347.0,269.0,78%
328021,128,Santos,5,10,16,1,4.0,12.0,17,5.0,1.0,59%,2.0,,5.0,514.0,439.0,85%
328017,126,Sao Paulo,5,12,24,7,14.0,10.0,14,5.0,4.0,67%,2.0,,3.0,618.0,562.0,91%
328017,118,Bahia,4,2,8,2,6.0,2.0,16,6.0,1.0,33%,2.0,,4.0,295.0,201.0,68%
328023,129,Ceara,2,9,22,11,10.0,12.0,18,13.0,1.0,58%,3.0,,1.0,479.0,411.0,86%
328023,133,Vasco DA Gama,4,0,5,1,3.0,2.0,14,2.0,2.0,42%,3.0,,2.0,361.0,293.0,81%
328032,134,Atletico Paranaense,5,6,14,3,8.0,6.0,21,7.0,1.0,65%,4.0,,2.0,607.0,527.0,87%
328032,124,Fluminense,2,3,9,4,3.0,6.0,12,2.0,2.0,35%,3.0,,5.0,327.0,241.0,74%
328030,119,Internacional,3,1,6,2,2.0,4.0,20,2.0,3.0,33%,1.0,,0.0,306.0,190.0,62%
328030,1062,Atletico-MG,1,5,11,5,4.0,7.0,21,5.0,1.0,67%,2.0,,2.0,620.0,505.0,81%
328034,151,Goias,2,3,6,1,4.0,2.0,26,3.0,5.0,33%,5.0,,4.0,274.0,187.0,68%
328034,144,Atletico Goianiense,4,9,16,3,6.0,10.0,18,11.0,2.0,67%,2.0,,0.0,536.0,437.0,82%
328025,127,Flamengo,5,5,15,5,7.0,8.0,15,5.0,0.0,67%,3.0,,0.0,638.0,566.0,89%
328025,120,Botafogo,1,4,7,2,6.0,1.0,17,4.0,2.0,33%,3.0,,4.0,309.0,243.0,79%
328027,121,Palmeiras,5,6,17,6,8.0,9.0,21,5.0,4.0,49%,5.0,0.0,2.0,362.0,281.0,78%
328027,128,Santos,2,4,9,3,2.0,7.0,14,6.0,0.0,51%,4.0,1.0,3.0,372.0,281.0,76%
328026,133,Vasco DA Gama,3,6,10,1,7.0,3.0,23,6.0,1.0,46%,5.0,,4.0,413.0,333.0,81%
328026,130,Gremio,4,5,14,5,6.0,8.0,17,4.0,0.0,54%,2.0,,3.0,473.0,391.0,83%
328028,794,Bragantino,2,5,15,8,4.0,11.0,17,10.0,1.0,47%,2.0,1.0,2.0,324.0,263.0,81%
328028,147,Coritiba,4,1,7,2,4.0,3.0,18,3.0,2.0,53%,0.0,0.0,1.0,397.0,297.0,75%
328033,129,Ceara,4,5,11,2,7.0,4.0,21,6.0,1.0,38%,1.0,,7.0,336.0,259.0,77%
328033,118,Bahia,7,7,16,2,10.0,6.0,7,11.0,1.0,62%,2.0,,2.0,539.0,456.0,85%
328031,123,Sport Recife,2,7,10,1,4.0,6.0,21,0.0,1.0,54%,2.0,,3.0,518.0,450.0,87%
328031,126,Sao Paulo,4,3,11,4,6.0,5.0,25,3.0,0.0,46%,3.0,,2.0,429.0,359.0,84%
328087,126,Sao Paulo,5,8,15,2,8.0,7.0,13,4.0,3.0,56%,2.0,,2.0,604.0,529.0,88%
328087,134,Atletico Paranaense,2,3,5,0,4.0,1.0,16,1.0,1.0,44%,1.0,,5.0,460.0,369.0,80%
328029,131,Corinthians,7,10,21,4,12.0,9.0,14,5.0,0.0,58%,0.0,,2.0,583.0,501.0,86%
328029,154,Fortaleza EC,3,8,11,0,6.0,5.0,12,1.0,4.0,42%,2.0,,6.0,407.0,332.0,82%
328036,120,Botafogo,2,4,7,1,3.0,4.0,14,5.0,2.0,48%,3.0,,2.0,472.0,397.0,84%
328036,119,Internacional,4,2,7,1,5.0,2.0,24,3.0,2.0,52%,1.0,,2.0,512.0,441.0,86%
328041,118,Bahia,1,1,9,7,3.0,6.0,15,8.0,1.0,49%,2.0,,4.0,419.0,346.0,83%
328041,121,Palmeiras,5,3,11,3,6.0,5.0,16,2.0,4.0,51%,2.0,,0.0,454.0,369.0,81%
328035,124,Fluminense,3,6,12,3,6.0,6.0,19,2.0,1.0,46%,4.0,0.0,3.0,450.0,387.0,86%
328035,133,Vasco DA Gama,4,3,9,2,5.0,4.0,16,4.0,1.0,54%,1.0,1.0,1.0,520.0,443.0,85%
328043,154,Fortaleza EC,6,6,13,1,9.0,4.0,23,3.0,0.0,59%,2.0,0.0,2.0,568.0,496.0,87%
328043,794,Bragantino,2,3,6,1,1.0,5.0,9,4.0,1.0,41%,2.0,1.0,3.0,384.0,322.0,84%
328037,126,Sao Paulo,5,7,14,2,5.0,9.0,16,7.0,2.0,53%,3.0,,4.0,434.0,373.0,86%
328037,131,Corinthians,5,2,7,0,3.0,4.0,22,4.0,1.0,47%,0.0,,3.0,387.0,302.0,78%
328038,128,Santos,5,11,22,6,13.0,9.0,14,9.0,5.0,52%,5.0,,5.0,420.0,356.0,85%
328038,127,Flamengo,6,4,10,0,10.0,0.0,26,2.0,1.0,48%,7.0,,5.0,399.0,321.0,80%
328042,147,Coritiba,3,6,13,4,9.0,4.0,14,5.0,0.0,58%,1.0,,1.0,556.0,478.0,86%
328042,123,Sport Recife,2,4,7,1,3.0,4.0,19,2.0,1.0,42%,4.0,,2.0,383.0,303.0,79%
328044,144,Atletico Goianiense,4,8,14,2,5.0,9.0,16,4.0,1.0,53%,1.0,1.0,3.0,358.0,286.0,80%
328044,129,Ceara,5,2,12,5,6.0,6.0,10,4.0,2.0,47%,2.0,0.0,4.0,306.0,225.0,74%
