,fixture_id,team_id,team_name,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_insidebox,shots_outsidebox,fouls,corner_kicks,offsides,ball_possession,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_%,expected_goals,goals_prevented
553,1180635,154,Fortaleza EC,5,2,7,0,4,3,9,2,1.0,62%,4.0,1.0,2,584,493,84%,0.32,-1.0
554,1180642,134,Atletico Paranaense,3,14,26,9,14,12,8,8,0.0,53%,2.0,0.0,2,437,357,82%,2.0,1.0
555,1180642,120,Botafogo,3,5,11,3,5,6,20,3,2.0,47%,4.0,0.0,3,401,312,78%,1.23,1.0
556,1180641,794,RB Bragantino,5,5,17,7,8,9,7,1,3.0,41%,4.0,1.0,5,353,263,75%,0.84,0.0
557,1180641,121,Palmeiras,5,6,14,3,7,7,14,3,0.0,59%,3.0,1.0,5,513,434,85%,1.41,0.0
558,1180636,1062,Atletico-MG,3,8,14,3,6,8,13,2,1.0,56%,1.0,1.0,1,491,417,85%,1.0,0.0
559,1180636,136,Vitoria,3,5,9,1,6,3,14,5,3.0,44%,0.0,0.0,1,376,310,82%,0.96,0.0
560,1180637,118,Bahia,2,5,9,2,6,3,20,3,3.0,46%,5.0,1.0,4,460,381,83%,1.03,0.0
561,1180637,127,Flamengo,6,4,13,3,8,5,11,7,4.0,54%,4.0,0.0,2,538,456,85%,2.65,0.0
562,1180640,131,Corinthians,6,6,15,3,12,3,11,9,3.0,53%,6.0,0.0,0,430,349,81%,1.96,0.0
